Metric,Baseline,Best LoRA,Improvement
Accuracy,0.848,0.869,0.02100000000000002
F1 Score,0.8455284552845529,0.8691308691308691,0.023602413846316228
Precision,0.8387096774193549,0.847953216374269,0.009243538954914143
Recall,0.8524590163934426,0.8913934426229508,0.03893442622950827
